"A01";"Q03";"Q04";"Q04A";"Q05";"Q06A";"Q06B";"Q08";"Q08C";"Q09A1";"Q09B1";"Q10A1";"Q10B1";"Q19A";"B08A";"B08B";"pm17B"
21432;"2";"1";"1";"2";"1";"1";"1";"1";"1";"1";"6";"5";"14";"2";"1";5,34543284863235e-05
24374;"2";"2";"5";"1";"1";"2";"3";"2";"3";"1";"8";"6";"14";"4";"1";5,34543284863235e-05
2279;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"5";"16";"2";"2";5,35701952680599e-05
2285;"2";"2";"5";"1";"1";"1";"1";"1";"1";"3";"6";"8";"NC";"2";"2";5,35701952680599e-05
2290;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"7";"5";"NC";"4";"4";5,35701952680599e-05
2294;"2";"1";"1";"1";"1";"1";"1";"2";"1";"1";"7";"6";"15";"4";"3";5,35701952680599e-05
2299;"2";"2";"4";"2";"1";"1";"4";"2";"2";"2";"8";"8";"NC";"4";"4";5,35701952680599e-05
2304;"2";"1";"1";"1";"2";"1";"1";"1";"1";"1";"6";"6";"13";"4";"3";5,35701952680599e-05
2317;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"6";"14";"5";"2";5,35701952680599e-05
2318;"2";"1";"2";"2";"1";"1";"1";"1";"1";"3";"7";"8";"16";"3";"2";5,35701952680599e-05
28067;"2";"2";"7";"1";"2";"1";"1";"1";"1";"1";"2";"6";"17";"4";"1";5,35701952680599e-05
36088;"2";"1";"1";"1";"1";"1";"1";"2";"1";"1";"4";"4";"16";"4";"1";5,35701952680599e-05
36106;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"6";"6";"16";"3";"3";5,35701952680599e-05
41866;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"7";"6";"16";"1";"1";5,35701952680599e-05
41882;"2";"1";"1";"2";"2";"1";"1";"5";"1";"4";"6";"6";"16";"3";"1";5,35701952680599e-05
41888;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"5";"15";"3";"3";5,35701952680599e-05
41891;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"7";"4";"17";"4";"3";5,35701952680599e-05
41899;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"5";"6";"18+";"1";"1";5,35701952680599e-05
41917;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"6";"6";"15";"3";"2";5,35701952680599e-05
41921;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"4";"15";"4";"4";5,35701952680599e-05
41934;"2";"1";"1";"2";"2";"1";"2";"2";"1";"4";"6";"8";"16";"3";"1";5,35701952680599e-05
41937;"2";"1";"1";"1";"1";"1";"1";"1";"2";"1";"7";"4";"NC";"1";"1";5,35701952680599e-05
41953;"2";"1";"1";"1";"2";"2";"1";"1";"1";"1";"2";"5";"15";"2";"2";5,35701952680599e-05
41976;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"6";"NC";"1";"1";5,35701952680599e-05
41982;"2";"1";"1";"1";"1";"1";"1";"1";"5";"1";"8";"7";"16";"2";"2";5,35701952680599e-05
41985;"2";"1";"1";"2";"2";"1";"1";"1";"1";"1";"7";"6";"15";"4";"4";5,35701952680599e-05
41998;"2";"1";"1";"2";"2";"2";"1";"1";"1";"1";"7";"6";"15";"4";"4";5,35701952680599e-05
42013;"2";"1";"1";"1";"2";"2";"1";"2";"6";"3";"8";"8";"17";"2";"2";5,35701952680599e-05
42024;"2";"1";"1";"1";"1";"2";"1";"1";"5";"3";"9";"9";"16";"1";"1";5,35701952680599e-05
42041;"2";"1";"1";"1";"1";"1";"1";"4";"1";"7";"4";"9";"14";"3";"3";5,35701952680599e-05
42052;"2";"1";"2";"2";"1";"1";"1";"4";"1";"7";"7";"9";"16";"3";"3";5,35701952680599e-05
